sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,deep_std_tm1,breath_average_std_tm1,directed,deep_std_tm1 -> breath_average_std_tm1,0.659
0.5,light_std_tm1,breath_average_std_tm1,directed,light_std_tm1 -> breath_average_std_tm1,0.603
0.5,breath_average_std_tm1,breath_average_std_t,directed,breath_average_std_tm1 -> breath_average_std_t,1.0
0.5,hr_lowest_mean_tm1,light_mean_tm1,directed,hr_lowest_mean_tm1 -> light_mean_tm1,0.44
0.5,hr_lowest_mean_tm1,hr_lowest_mean_t,directed,hr_lowest_mean_tm1 -> hr_lowest_mean_t,1.0
0.5,hr_lowest_std_tm1,temperature_max_std_tm1,directed,hr_lowest_std_tm1 -> temperature_max_std_tm1,0.348
0.5,hr_lowest_std_tm1,efficiency_std_tm1,directed,hr_lowest_std_tm1 -> efficiency_std_tm1,0.665
0.5,hr_lowest_std_tm1,hr_lowest_std_t,directed,hr_lowest_std_tm1 -> hr_lowest_std_t,0.985
0.5,deep_mean_tm1,breath_v_average_mean_tm1,directed,deep_mean_tm1 -> breath_v_average_mean_tm1,0.87
0.5,rem_mean_tm1,breath_v_average_mean_tm1,directed,rem_mean_tm1 -> breath_v_average_mean_tm1,0.885
0.5,rem_std_tm1,breath_v_average_mean_tm1,directed,rem_std_tm1 -> breath_v_average_mean_tm1,0.627
0.5,breath_v_average_mean_tm1,breath_v_average_mean_t,directed,breath_v_average_mean_tm1 -> breath_v_average_mean_t,1.0
0.5,breath_v_average_std_tm1,deep_std_tm1,directed,breath_v_average_std_tm1 -> deep_std_tm1,0.794
0.5,breath_v_average_std_tm1,rem_std_tm1,directed,breath_v_average_std_tm1 -> rem_std_tm1,0.519
0.5,breath_v_average_std_tm1,breath_v_average_std_t,directed,breath_v_average_std_tm1 -> breath_v_average_std_t,1.0
0.5,temperature_deviation_mean_tm1,temperature_trend_deviation_mean_tm1,undirected,temperature_deviation_mean_tm1 -- temperature_trend_deviation_mean_tm1,0.927
0.5,awake_mean_tm1,temperature_deviation_mean_tm1,undirected,awake_mean_tm1 -- temperature_deviation_mean_tm1,0.39
0.5,temperature_deviation_mean_tm1,temperature_deviation_mean_t,directed,temperature_deviation_mean_tm1 -> temperature_deviation_mean_t,1.0
0.5,temperature_deviation_std_tm1,temperature_trend_deviation_std_tm1,directed,temperature_deviation_std_tm1 -> temperature_trend_deviation_std_tm1,0.776
0.5,light_std_tm1,temperature_deviation_std_tm1,directed,light_std_tm1 -> temperature_deviation_std_tm1,0.413
0.5,temperature_deviation_std_tm1,temperature_deviation_std_t,directed,temperature_deviation_std_tm1 -> temperature_deviation_std_t,1.0
0.5,temperature_deviation_std_tm1,temperature_trend_deviation_std_t,directed,temperature_deviation_std_tm1 -> temperature_trend_deviation_std_t,0.4
0.5,temperature_trend_deviation_mean_tm1,temperature_trend_deviation_mean_t,directed,temperature_trend_deviation_mean_tm1 -> temperature_trend_deviation_mean_t,1.0
0.5,awake_std_tm1,temperature_trend_deviation_std_tm1,directed,awake_std_tm1 -> temperature_trend_deviation_std_tm1,0.196
0.5,temperature_trend_deviation_std_tm1,temperature_deviation_std_t,directed,temperature_trend_deviation_std_tm1 -> temperature_deviation_std_t,0.753
0.5,temperature_trend_deviation_std_tm1,temperature_trend_deviation_std_t,directed,temperature_trend_deviation_std_tm1 -> temperature_trend_deviation_std_t,1.0
0.5,temperature_max_mean_tm1,efficiency_mean_tm1,directed,temperature_max_mean_tm1 -> efficiency_mean_tm1,0.983
0.5,temperature_max_mean_tm1,light_mean_tm1,directed,temperature_max_mean_tm1 -> light_mean_tm1,0.891
0.5,temperature_max_mean_tm1,temperature_max_mean_t,directed,temperature_max_mean_tm1 -> temperature_max_mean_t,1.0
0.5,temperature_max_std_tm1,efficiency_std_tm1,directed,temperature_max_std_tm1 -> efficiency_std_tm1,0.982
0.5,deep_std_tm1,temperature_max_std_tm1,directed,deep_std_tm1 -> temperature_max_std_tm1,0.146
0.5,light_std_tm1,temperature_max_std_tm1,directed,light_std_tm1 -> temperature_max_std_tm1,0.411
0.5,temperature_max_std_tm1,temperature_max_std_t,directed,temperature_max_std_tm1 -> temperature_max_std_t,1.0
0.5,onset_latency_mean_tm1,awake_mean_tm1,directed,onset_latency_mean_tm1 -> awake_mean_tm1,0.235
0.5,onset_latency_mean_tm1,onset_latency_mean_t,directed,onset_latency_mean_tm1 -> onset_latency_mean_t,1.0
0.5,awake_std_tm1,onset_latency_std_tm1,directed,awake_std_tm1 -> onset_latency_std_tm1,0.39
0.5,onset_latency_std_tm1,onset_latency_std_t,directed,onset_latency_std_tm1 -> onset_latency_std_t,1.0
0.5,onset_latency_std_tm1,awake_std_t,directed,onset_latency_std_tm1 -> awake_std_t,0.948
0.5,deep_mean_tm1,efficiency_mean_tm1,directed,deep_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,rem_mean_tm1,efficiency_mean_tm1,directed,rem_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,awake_mean_tm1,efficiency_mean_tm1,directed,awake_mean_tm1 -> efficiency_mean_tm1,1.0
0.5,efficiency_mean_tm1,efficiency_mean_t,directed,efficiency_mean_tm1 -> efficiency_mean_t,1.0
0.5,efficiency_std_tm1,deep_std_tm1,directed,efficiency_std_tm1 -> deep_std_tm1,0.93
0.5,light_std_tm1,efficiency_std_tm1,directed,light_std_tm1 -> efficiency_std_tm1,0.249
0.5,awake_std_tm1,efficiency_std_tm1,directed,awake_std_tm1 -> efficiency_std_tm1,0.996
0.5,efficiency_std_tm1,efficiency_std_t,directed,efficiency_std_tm1 -> efficiency_std_t,1.0
0.5,deep_mean_tm1,light_mean_tm1,directed,deep_mean_tm1 -> light_mean_tm1,0.867
0.5,deep_mean_tm1,deep_mean_t,directed,deep_mean_tm1 -> deep_mean_t,1.0
0.5,light_std_tm1,deep_std_tm1,directed,light_std_tm1 -> deep_std_tm1,0.746
0.5,deep_std_tm1,deep_std_t,directed,deep_std_tm1 -> deep_std_t,1.0
0.5,rem_mean_tm1,light_mean_tm1,directed,rem_mean_tm1 -> light_mean_tm1,0.774
0.5,awake_mean_tm1,light_mean_tm1,directed,awake_mean_tm1 -> light_mean_tm1,0.972
0.5,light_mean_tm1,light_mean_t,directed,light_mean_tm1 -> light_mean_t,1.0
0.5,rem_std_tm1,light_std_tm1,directed,rem_std_tm1 -> light_std_tm1,0.189
